19.000000,0.1
19.000000,1.825026e-05
20.000000,4.753415e-05
21.000000,4.069882e-05
22.000000,2.041210e-05
23.000000,8.838263e-06
24.000000,1.115352e-05
25.000000,2.196346e-05
26.000000,1.827260e-05
27.000000,1.234394e-05
28.000000,1.061278e-05
29.000000,1.084044e-05
30.000000,1.170433e-05
31.000000,1.541566e-05
32.000000,1.135969e-05
33.000000,9.776018e-06
34.000000,8.431335e-06
35.000000,7.783942e-06
36.000000,8.212726e-06
37.000000,8.995338e-06
38.000000,1.401260e-05   
39.000000,1.456212e-05
40.000000,1.506018e-05
41.000000,1.308215e-05
42.000000,1.131774e-05
43.000000,1.052161e-05
44.000000,7.827208e-06
45.000000,5.832277e-06
46.000000,5.168107e-06
47.000000,5.820182e-06
48.000000,6.905201e-06
49.000000,9.232213e-06
50.000000,0.000013
51.000000,0.000011
52.000000,0.000014
53.000000,0.000018
54.000000,1.231510e-05
55.000000,1.128993e-05
56.000000,1.138277e-05
57.000000,0.000010
58.000000,0.000008
59.000000,0.000007
60.000000,9.926546e-06
61.000000,1.355149e-05
62.000000,0.000013
63.000000,0.000012
64.000000,0.000007
65.000000,0.000006
66.000000,0.000007
67.000000,0.000006
68.000000,0.000014
69.000000,1.317660e-05
70.000000,1.153302e-05
71.000000,1.107328e-05
72.000000,0.000010
73.000000,0.000005
74.000000,0.000004
75.000000,0.000005
76.000000,0.000006
77.000000,0.000007
78.000000,0.000015
79.000000,0.000018
80.000000,0.000022
81.000000,0.000018
82.000000,0.000018
83.000000,0.000015
84.000000,0.000009
85.000000,0.000007
86.000000,0.000007
87.000000,0.000007
88.000000,0.000007
89.000000,0.000015
90.000000,0.000018
91.000000,0.000020
92.000000,0.000026
93.000000,0.000028
94.000000,0.000029
95.000000,0.000017
96.000000,0.000014
97.000000,0.000009
98.000000,0.000007
99.000000,0.000007
100.000000,0.000006
101.000000,0.000007
102.000000,0.000006
103.000000,0.000007
104.000000,0.000009
105.000000,0.000013
106.000000,0.000011
107.000000,0.000010
108.000000,0.000012
109.000000,0.000010
110.000000,0.000011
111.000000,0.000015
112.000000,0.000013
113.000000,0.000018
114.000000,0.000022
115.000000,0.000028
116.000000,0.000029
117.000000,0.000030
118.000000,0.000024
119.000000,0.000024
120.000000,0.000023
121.000000,0.000023
122.000000,0.000012
123.000000,0.000014
124.000000,0.000016
125.000000,0.000015
126.000000,0.000014
127.000000,0.000015
128.000000,0.000018
129.000000,0.000018
130.000000,0.000025
131.000000,0.000026
132.000000,0.000026
133.000000,0.000025
134.000000,0.000024
135.000000,0.000028
136.000000,0.000023
137.000000,0.000022
138.000000,0.000022
139.000000,0.000020
140.000000,0.000017
141.000000,0.000019
142.000000,0.000020
143.000000,0.000017
144.000000,0.000018
145.000000,0.000018
146.000000,0.000016
147.000000,0.000016
148.000000,0.000016
149.000000,0.000017
150.000000,0.000016
151.000000,0.000017
152.000000,0.000017
153.000000,0.000017
154.000000,0.000018
155.000000,0.000023
156.000000,0.000030
157.000000,0.000027
158.000000,0.000030
159.000000,0.000031
160.000000,0.000027
161.000000,0.000031
162.000000,0.000036
163.000000,0.000048
164.000000,0.000045
165.000000,0.000045
166.000000,0.000047
167.000000,0.000042
168.000000,0.000041
169.000000,0.000041
170.000000,0.000036
171.000000,0.000035
172.000000,0.000033
173.000000,0.000030
174.000000,0.000034
175.000000,0.000029
176.000000,0.000033
177.000000,0.000039
178.000000,0.000040
179.000000,0.000043
179.000000,0.1
